"Address","Content Type","Status Code","Status","Indexability","Indexability Status","Title 1","Title 1 Length","Title 1 Pixel Width","Meta Description 1","Meta Description 1 Length","Meta Description 1 Pixel Width","Meta Keyword 1","Meta Keywords 1 Length","H1-1","H1-1 length","H2-1","H2-1 length","H2-2","H2-2 length","Meta Robots 1","X-Robots-Tag 1","Meta Refresh 1","Canonical Link Element 1","rel=""next"" 1","rel=""prev"" 1","HTTP rel=""next"" 1","HTTP rel=""prev"" 1","Size (bytes)","Word Count","Text Ratio","Crawl Depth","Link Score","Inlinks","Unique Inlinks","% of Total","Outlinks","Unique Outlinks","External Outlinks","Unique External Outlinks","Closest Similarity Match","No. Near Duplicates","Spelling Errors","Grammar Errors","Hash","Response Time","Last Modified","Redirect URL","Redirect Type","Cookies","HTTP Version","URL Encoded Address"
"https://seohacks.es/wp-content/uploads/2016/12/https-google.png","image/png","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","7477","0","0.000","2","","1","1","3.700","0","0","0","0","","","","","","0.128","Thu, 22 Dec 2016 16:10:39 GMT","","","","HTTP/1.1","https://seohacks.es/wp-content/uploads/2016/12/https-google.png"
"https://seohacks.es/wp-content/uploads/2016/12/certificado-ssl-chrome.png","image/png","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","6797","0","0.000","2","","1","1","3.700","0","0","0","0","","","","","","0.180","Thu, 22 Dec 2016 16:05:47 GMT","","","","HTTP/1.1","https://seohacks.es/wp-content/uploads/2016/12/certificado-ssl-chrome.png"
"https://seohacks.es/wp-content/uploads/2016/12/seo-https.png","image/png","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","21874","0","0.000","2","","1","1","3.700","0","0","0","0","","","","","","0.174","Thu, 22 Dec 2016 15:53:39 GMT","","","","HTTP/1.1","https://seohacks.es/wp-content/uploads/2016/12/seo-https.png"
"https://seohacks.es/wp-content/uploads/2017/03/robots-txt.jpg","image/jpeg","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","26671","0","0.000","2","","1","1","3.700","0","0","0","0","","","","","","0.209","Mon, 13 Mar 2017 15:24:32 GMT","","","","HTTP/1.1","https://seohacks.es/wp-content/uploads/2017/03/robots-txt.jpg"
"https://seohacks.es/wp-content/uploads/2017/03/nofollow-seo.jpg","image/jpeg","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","34377","0","0.000","2","","1","1","3.700","0","0","0","0","","","","","","0.230","Tue, 14 Mar 2017 17:49:59 GMT","","","","HTTP/1.1","https://seohacks.es/wp-content/uploads/2017/03/nofollow-seo.jpg"
"https://seohacks.es/wp-content/uploads/2017/03/noindex-seo.jpg","image/jpeg","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","39631","0","0.000","2","","1","1","3.700","0","0","0","0","","","","","","0.209","Tue, 14 Mar 2017 17:12:07 GMT","","","","HTTP/1.1","https://seohacks.es/wp-content/uploads/2017/03/noindex-seo.jpg"
"https://seohacks.es/wp-content/uploads/2017/03/meta-etiqueta-robots.jpg","image/jpeg","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","65190","0","0.000","2","","1","1","3.700","0","0","0","0","","","","","","0.245","Mon, 13 Mar 2017 22:12:27 GMT","","","","HTTP/1.1","https://seohacks.es/wp-content/uploads/2017/03/meta-etiqueta-robots.jpg"
"https://seohacks.es/wp-content/uploads/2017/03/optimizar-frecuencia-de-rastreo.jpg","image/jpeg","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","48641","0","0.000","2","","1","1","3.700","0","0","0","0","","","","","","0.200","Mon, 13 Mar 2017 21:57:30 GMT","","","","HTTP/1.1","https://seohacks.es/wp-content/uploads/2017/03/optimizar-frecuencia-de-rastreo.jpg"
"https://seohacks.es/wp-content/uploads/2017/03/etiqueta-meta-robots.jpg","image/jpeg","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","34264","0","0.000","2","","1","1","3.700","0","0","0","0","","","","","","0.143","Tue, 14 Mar 2017 17:53:17 GMT","","","","HTTP/1.1","https://seohacks.es/wp-content/uploads/2017/03/etiqueta-meta-robots.jpg"
"https://seohacks.es/wp-content/uploads/2017/03/archivo-robots.jpg","image/jpeg","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","7891","0","0.000","2","","1","1","3.700","0","0","0","0","","","","","","0.167","Mon, 13 Mar 2017 17:03:23 GMT","","","","HTTP/1.1","https://seohacks.es/wp-content/uploads/2017/03/archivo-robots.jpg"
"https://seohacks.es/el-dia-a-dia-de-un-seo-en-gifs/","text/html; charset=UTF-8","200","OK","Indexable","","El día a día de un SEO en GIFs | SEO Hacks por Nacho Mascort","60","580","","0","0","","0","El día a día de un SEO en GIFs","30","Mirando tu analytics","20","Contestando mails de clientes","29","","","","https://seohacks.es/el-dia-a-dia-de-un-seo-en-gifs/","","","","","53569","1180","13.180","2","","29","5","18.520","45","20","14","10","","","","","73e1c90fcdb9d3edc8bbc9cea6979d81","0.148","Thu, 10 Dec 2020 18:10:39 GMT","","","","HTTP/1.1","https://seohacks.es/el-dia-a-dia-de-un-seo-en-gifs/"
"https://seohacks.es/wp-content/uploads/2015/11/que-es-el-Thin-Content-750x372.png","image/png","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","46609","0","0.000","2","","0","0","0.000","0","0","0","0","","","","","","0.174","Tue, 04 Oct 2016 09:52:10 GMT","","","","HTTP/1.1","https://seohacks.es/wp-content/uploads/2015/11/que-es-el-Thin-Content-750x372.png"
"https://seohacks.es/wp-content/uploads/2015/11/SEO-On-Page-750x410.png","image/png","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","207884","0","0.000","2","","0","0","0.000","0","0","0","0","","","","","","0.185","Tue, 04 Oct 2016 09:52:11 GMT","","","","HTTP/1.1","https://seohacks.es/wp-content/uploads/2015/11/SEO-On-Page-750x410.png"
"https://seohacks.es/wp-content/uploads/2015/12/Screenshot_2-750x410.png","image/png","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","251612","0","0.000","2","","0","0","0.000","0","0","0","0","","","","","","0.227","Tue, 04 Oct 2016 09:52:19 GMT","","","","HTTP/1.1","https://seohacks.es/wp-content/uploads/2015/12/Screenshot_2-750x410.png"
"https://seohacks.es/200-factores-seo-que-posicionan-en-google/","text/html; charset=UTF-8","200","OK","Indexable","","200 Factores SEO que Google tiene en cuenta | SEO Hacks","55","537","Alguna vez te has preguntado: ¿que factores tienen en cuenta Google? En este post te desvelo más de 200 factores SEO a tener en cuenta.","135","893","","0","Los 200 factores SEO que posicionan en Google","45","Factores de dominio","19","Factores SEO On Page","20","","","","https://seohacks.es/200-factores-seo-que-posicionan-en-google/","","","","","66234","1525","13.204","2","","36","5","18.520","54","21","16","12","","","","","cf80dbbdd039aa4239a9a7546b99e8af","0.150","Thu, 10 Dec 2020 19:49:01 GMT","","","","HTTP/1.1","https://seohacks.es/200-factores-seo-que-posicionan-en-google/"
"https://seohacks.es/wp-content/uploads/2015/12/dia-a-dia-de-un-SEO-750x340.png","image/png","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","63170","0","0.000","2","","0","0","0.000","0","0","0","0","","","","","","0.230","Tue, 04 Oct 2016 09:52:13 GMT","","","","HTTP/1.1","https://seohacks.es/wp-content/uploads/2015/12/dia-a-dia-de-un-SEO-750x340.png"
"https://seohacks.es/wp-content/uploads/2016/01/SEO-Black-Hat-1-750x291.jpg","image/jpeg","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","46942","0","0.000","2","","0","0","0.000","0","0","0","0","","","","","","0.187","Tue, 04 Oct 2016 09:52:24 GMT","","","","HTTP/1.1","https://seohacks.es/wp-content/uploads/2016/01/SEO-Black-Hat-1-750x291.jpg"
"https://seohacks.es/analisis-pagina-web-seo-on-page/","text/html; charset=UTF-8","200","OK","Indexable","","SEO On Page: Análisis de una página web optimizada","50","482","","0","0","","0","[Infografía] SEO On-Page: Análisis de una web perfectamente optimizada","70","Optimiza los Titles de tu web","29","Meta-descripción","16","","","","https://seohacks.es/analisis-pagina-web-seo-on-page/","","","","","63164","2200","21.514","2","","36","5","18.520","53","21","17","13","","","","","bef173840c0b2e2e0381b621914a7b0c","0.177","Thu, 10 Dec 2020 18:10:27 GMT","","","","HTTP/1.1","https://seohacks.es/analisis-pagina-web-seo-on-page/"
"https://seohacks.es/wp-content/uploads/2016/01/autoridad-vs-credibilidad-seo-750x337.jpg","image/jpeg","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","30799","0","0.000","2","","0","0","0.000","0","0","0","0","","","","","","0.182","Tue, 04 Oct 2016 09:52:21 GMT","","","","HTTP/1.1","https://seohacks.es/wp-content/uploads/2016/01/autoridad-vs-credibilidad-seo-750x337.jpg"
"https://seohacks.es/wp-content/uploads/2016/04/web-hackeada-1024x496.jpg","image/jpeg","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","137057","0","0.000","2","","0","0","0.000","0","0","0","0","","","","","","0.223","Tue, 04 Oct 2016 09:52:38 GMT","","","","HTTP/1.1","https://seohacks.es/wp-content/uploads/2016/04/web-hackeada-1024x496.jpg"
